,M,N,#query,#predicates,#pareto,ratio,flag
0,100,40,50,188,186,0.9894,median
1,100,40,50,204,194,0.951,median
2,100,40,50,199,195,0.9799,median
3,100,40,50,234,221,0.9444,median
4,100,40,50,239,228,0.9540000000000001,median
5,100,40,50,168,165,0.9821,max
6,100,40,50,184,182,0.9891,max
7,100,40,50,216,208,0.963,max
8,100,40,50,194,184,0.9485,max
9,100,40,50,212,207,0.9764,max
10,100,40,100,428,409,0.9556,median
11,100,40,100,433,416,0.9607,median
12,100,40,100,422,413,0.9787,median
13,100,40,100,407,390,0.9582,median
14,100,40,100,402,376,0.9353,max
15,100,40,100,416,385,0.9255,max
16,100,40,100,406,388,0.9557,max
17,100,40,100,421,394,0.9359,max
18,100,40,100,412,393,0.9539,max
19,100,40,150,654,632,0.9664,median
20,100,40,150,594,565,0.9512,median
21,100,40,150,642,608,0.947,median
22,100,40,150,589,571,0.9694,median
23,100,40,150,666,630,0.9459,median
24,100,40,150,568,549,0.9665,max
25,100,40,150,615,589,0.9577,max
26,100,40,150,615,585,0.9512,max
27,100,40,150,604,566,0.9371,max
28,100,40,150,587,563,0.9591,max
29,100,40,200,826,796,0.9637,median
30,100,40,200,858,824,0.9604,median
31,100,40,200,774,754,0.9742,median
32,100,40,200,781,758,0.9706,median
33,100,40,200,882,843,0.9558,median
34,100,40,200,823,786,0.955,max
35,100,40,200,773,749,0.969,max
36,100,40,200,793,777,0.9798,max
37,100,40,200,844,814,0.9645,max
38,100,40,200,766,729,0.9517,max
39,200,20,50,175,169,0.9657,max
40,200,20,50,170,164,0.9647,max
41,200,20,100,339,326,0.9617,max
42,200,20,100,348,332,0.9540000000000001,max
43,200,20,150,555,530,0.955,max
44,200,20,200,665,642,0.9654,max
45,200,40,50,175,170,0.9714,max
46,200,40,100,360,339,0.9417,max
47,200,40,150,525,500,0.9524,max
48,200,40,200,768,731,0.9518,max
49,200,80,50,189,175,0.9259,max
50,200,80,100,422,395,0.9359999999999999,max
51,200,80,150,565,541,0.9575,max
52,200,80,200,784,755,0.963,max
53,400,20,50,193,178,0.9223,max
54,400,20,100,372,341,0.9167,max
55,400,20,150,601,557,0.9268,max
56,400,20,200,719,669,0.9305,max
57,400,40,50,212,197,0.9292,max
58,400,40,100,418,395,0.945,max
59,400,40,150,624,575,0.9215,max
60,400,40,200,824,762,0.9248,max
61,400,80,50,231,211,0.9134,max
62,400,80,100,434,396,0.9124,max
63,400,80,150,625,588,0.9408,max
64,400,80,200,852,795,0.9331,max
65,800,20,50,181,175,0.9669,max
66,800,20,100,381,359,0.9423,max
67,800,20,150,568,543,0.956,max
68,800,20,200,808,767,0.9493,max
69,800,40,50,210,197,0.9381,max
70,800,40,100,426,404,0.9484,max
71,800,40,150,653,610,0.9342,max
72,800,40,200,934,857,0.9176,max
73,800,40,200,912,854,0.9364,max
74,800,80,50,210,194,0.9238,max
75,800,80,100,418,386,0.9234,max
76,800,80,150,697,642,0.9211,max
77,800,80,150,648,601,0.9275,max
78,800,80,200,836,768,0.9187,max
79,1600,20,50,198,189,0.9545,max
80,1600,20,100,415,377,0.9084,max
81,1600,20,100,413,382,0.9249,max
82,1600,20,100,356,327,0.9185,max
83,1600,20,150,630,575,0.9127,max
84,1600,20,200,838,775,0.9248,max
85,1600,40,50,220,200,0.9091,max
86,1600,40,100,401,375,0.9352,max
87,1600,40,150,619,567,0.916,max
88,1600,40,150,584,531,0.9092,max
89,1600,40,200,879,787,0.8953,max
90,1600,40,200,858,776,0.9044,max
95,1600,40,200,785,720,0.9172,max
91,1600,80,50,208,192,0.9231,max
92,1600,80,100,454,415,0.9141,max
93,1600,80,150,625,565,0.904,max
94,1600,80,200,823,752,0.9137,max
