,M,N,time
0,400,40,0.038070506000000004
1,400,80,0.05163740299999997
2,400,100,0.06456463800000001
3,400,200,0.10010647899999997
4,1600,40,0.140358938
5,1600,80,0.19632629499999998
6,1600,100,0.22170181499999997
7,1600,200,0.36264207299999995
8,6400,40,0.5195992490000001
9,6400,80,0.730218482
10,6400,100,0.8511909000000002
11,6400,200,1.3549036339999998
12,25600,40,2.204557176
13,25600,80,3.0937597560000007
14,25600,100,3.509991287
15,25600,200,5.655824360999999
16,102400,40,8.708447784
17,102400,80,12.105918276000004
18,102400,100,14.085434854999995
19,102400,200,23.11528231700001
